series_id,TotalNonfarm,footnote_codes_x,date,supersector_code,industry_code,data_type_code,seasonal,series_title,footnote_codes_y,begin_year,begin_period,end_year,end_period
CES0000000001    ,29923.0,,1939-01-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CEU0000000001    ,29296.0,,1939-01-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,30100.0,,1939-02-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CEU0000000001    ,29394.0,,1939-02-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CEU0000000001    ,29804.0,,1939-03-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000025    ,30101.0,,1939-03-01,00,00000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M03,2022,M12
CES0000000001    ,30280.0,,1939-03-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CEU0000000001    ,29786.0,,1939-04-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,30094.0,,1939-04-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,57.0,,1939-04-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CEU0000000001    ,30145.0,,1939-05-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,30299.0,,1939-05-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,66.0,,1939-05-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CES0000000025    ,30298.0,,1939-06-01,00,00000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M03,2022,M12
CEU0000000001    ,30520.0,,1939-06-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,30502.0,,1939-06-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,74.0,,1939-06-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
